system:index,BoundaryScore,C3_-1_-1,C3_-1_0,C3_-1_1,C3_0_-1,C3_0_0,C3_0_1,C3_1_-1,C3_1_0,C3_1_1,Class,Method,Original_ID,PointID,RF_Pred,WC_-1_-1,WC_-1_0,WC_-1_1,WC_0_-1,WC_0_0,WC_0_1,WC_1_-1,WC_1_0,WC_1_1,center_C3,center_WC,has_C1,has_C1_nb8,has_C3,lat,lon,margin,n_C1,n_C1_nb8,n_C2,n_C2_nb8,n_C3,n_C3_nb8,note,prob_1,prob_2,prob_3,suggest_C_if_uncertain,.geo
00000000000000000013,1579.3920439502112,1,2,3,1,2,3,1,1,2,1,BAMS150,4930,20,1,50,30,80,50,30,80,50,50,30,2,30,1,1,1,32.198269812931805,118.840419640146,0.33000001311302185,4,4,3,2,2,2,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.5966666666666667,0.13666666666666666,0.26666666666666666,1,"{""type"":""Point"",""coordinates"":[118.84041964014601,32.198269812931805]}"
0000000000000000006a,998.384443514899,1,2,1,1,1,1,2,2,2,1,BAMS150,2158,107,1,50,10,50,50,50,50,40,30,30,1,50,1,1,0,31.56855079876402,118.97022619870128,0.34666666666666673,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6033333333333334,0.14000000059604645,0.25666666666666665,1,"{""type"":""Point"",""coordinates"":[118.9702261987013,31.56855079876402]}"
00000000000000000033,1221.328677091516,2,1,1,2,1,1,2,2,2,1,BAMS150,2835,52,1,10,50,50,10,50,50,10,10,10,1,50,1,1,0,31.68236734526196,118.84464172198136,0.25333333333333335,4,3,5,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6266666666666667,0.37333333333333335,0.0,1,"{""type"":""Point"",""coordinates"":[118.84464172198138,31.68236734526197]}"
00000000000000000085,932.2263923941139,1,1,1,1,1,1,2,2,2,1,BAMS150,1116,134,1,50,50,50,50,50,50,10,10,10,1,50,1,1,0,31.852238765488963,118.81364984467923,0.26666666666666666,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6333333333333333,0.36666666666666664,0.0,1,"{""type"":""Point"",""coordinates"":[118.81364984467923,31.852238765488966]}"
0000000000000000006c,984.6808469290306,1,1,2,1,1,2,1,2,2,1,BAMS150,4658,109,1,50,50,10,50,50,30,50,30,30,1,50,1,1,0,32.06927173813224,119.05071524815838,0.2733333333333334,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6366666666666667,0.36333333333333334,0.0,1,"{""type"":""Point"",""coordinates"":[119.05071524815838,32.06927173813224]}"
0000000000000000005f,1036.9975546940605,1,1,1,2,1,1,2,2,2,1,BAMS150,4898,96,1,50,50,50,30,50,50,30,10,10,1,50,1,1,0,31.906317345592957,118.98711452604272,0.2933333333333333,5,4,4,4,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6466666666666666,0.35333333333333333,0.0,1,"{""type"":""Point"",""coordinates"":[118.98711452604272,31.906317345592957]}"
00000000000000000006,2367.656002941398,1,2,2,1,1,1,1,1,1,1,BAMS150,2365,7,1,50,10,10,50,50,50,50,50,50,1,50,1,1,0,31.734918789382952,118.94875646341082,0.30000000000000004,7,6,2,2,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6499999761581421,0.3499999940395355,0.0,1,"{""type"":""Point"",""coordinates"":[118.9487564634108,31.734918789382945]}"
0000000000000000005b,1050.527832474543,1,1,1,2,2,2,2,2,2,1,BAMS150,1243,92,1,50,50,50,40,10,10,40,40,40,2,10,1,1,0,32.14688617868016,118.583321805831,0.30666666666666664,3,3,6,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6533333333333333,0.3466666666666667,0.0,1,"{""type"":""Point"",""coordinates"":[118.58332180583102,32.14688617868016]}"
0000000000000000005a,1050.765565661508,1,1,1,2,2,2,2,2,2,1,BAMS150,108,91,1,50,50,50,10,10,10,10,10,10,2,10,1,1,0,32.18138148559036,118.667493947953,0.3199999928474426,3,3,6,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6600000262260437,0.3400000035762787,0.0,1,"{""type"":""Point"",""coordinates"":[118.667493947953,32.181381485590364]}"
00000000000000000047,1124.2292225347442,2,1,1,2,2,1,2,2,2,1,BAMS150,1796,72,1,10,50,50,10,10,50,10,10,10,2,10,1,1,0,32.053281726074914,118.80691248004834,0.3400000035762787,3,3,6,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6700000166893005,0.33000001311302185,0.0,1,"{""type"":""Point"",""coordinates"":[118.80691248004834,32.053281726074914]}"
00000000000000000065,1013.5572296240504,1,1,2,1,1,2,1,1,2,1,BAMS150,4589,102,1,50,50,10,50,50,10,50,50,10,1,50,1,1,0,32.0712480317573,118.61745778662754,0.3633333333333334,6,5,3,3,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6700000166893005,0.30666666666666664,0.023333333333333334,1,"{""type"":""Point"",""coordinates"":[118.61745778662755,32.0712480317573]}"
00000000000000000069,1005.0988225581174,2,2,2,1,2,2,2,2,2,1,BAMS150,981,106,1,30,30,40,50,40,40,40,40,40,2,40,1,1,0,31.89859183414953,118.44246596928106,0.3466666666666667,1,1,8,7,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6733333333333333,0.32666666666666666,0.0,1,"{""type"":""Point"",""coordinates"":[118.44246596928107,31.898591834149535]}"
00000000000000000060,1032.9699753225764,2,2,2,2,1,2,1,1,1,1,BAMS150,868,97,1,40,40,10,40,50,10,50,50,50,1,50,1,1,0,32.05705465026821,118.90006777501154,0.35666666666666663,4,3,5,5,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6766666666666666,0.3199999928474426,0.0033333333333333335,1,"{""type"":""Point"",""coordinates"":[118.90006777501154,32.05705465026821]}"
00000000000000000036,1175.8627781278678,2,1,1,2,2,2,2,2,2,1,BAMS150,17,55,1,40,50,50,40,40,40,40,40,40,2,40,1,1,0,32.23366343512611,119.13407890652468,0.3666666666666667,2,2,7,6,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6833333333333333,0.31666666666666665,0.0,1,"{""type"":""Point"",""coordinates"":[119.13407890652468,32.23366343512611]}"
0000000000000000003b,1164.3052186905597,1,1,1,1,1,1,1,2,2,1,BAMS150,2139,60,1,50,50,50,50,50,50,50,10,10,1,50,1,1,0,32.049239307296375,118.76145772667188,0.37333333333333335,7,6,2,2,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6833333333333333,0.3100000023841858,0.006666666666666667,1,"{""type"":""Point"",""coordinates"":[118.76145772667189,32.049239307296375]}"
00000000000000000071,969.878893070418,1,1,1,1,1,1,1,1,2,1,BAMS150,4905,114,1,50,50,50,50,50,50,50,50,10,1,50,1,1,0,31.95886878971395,118.86943522382306,0.49000000953674316,8,7,1,1,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6866666666666666,0.11666666666666667,0.19666666666666666,1,"{""type"":""Point"",""coordinates"":[118.86943522382307,31.958868789713954]}"
00000000000000000088,928.000342956653,1,1,1,1,1,1,1,1,1,1,BAMS150,161,137,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,31.300673181039578,118.85605032608969,0.44999999999999996,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6866666666666666,0.07666666666666666,0.23666666666666666,1,"{""type"":""Point"",""coordinates"":[118.85605032608969,31.300673181039578]}"
00000000000000000024,1303.7115061265436,1,1,1,1,1,1,1,1,1,1,BAMS150,2484,37,1,50,50,50,50,50,50,50,50,50,1,50,1,1,0,31.347026249700143,118.8817421432155,0.4733333333333333,9,8,0,0,0,0,Use suggest_C_if_uncertain ONLY when center is visually ambiguous between C1/C2; always confirm on imagery.,0.6899999976158142,0.09333333333333334,0.21666666666666667,1,"{""type"":""Point"",""coordinates"":[118.88174214321549,31.347026249700143]}"
